,STNAME,STATE,YEAR,rep_vote_pct,linear_model_predictions,polynomial4_only_predictions,polynomial_3_only_predictions,polynomial_2_predictions,electoral_votes,actual_result,linear_result,poly_4_result,poly_3_result,poly_2_result,actual_result_mapped,linear_result_mapped,poly_4_result_mapped,poly_3_result_mapped,poly_2_result_mapped
66,Iowa,19,2004,0.5033667926271291,0.5587124466220543,0.5174167702184107,0.5174092255310683,0.5038594619173296,7,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
67,Kansas,20,2004,0.6286709878108223,0.550412674398419,0.5544504365987208,0.5529069434590355,0.5455037289798881,6,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
68,Kentucky,21,2004,0.6000761991547393,0.5403099257406332,0.5072114228913449,0.5088284443849602,0.5239588972858513,8,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
69,Louisiana,22,2004,0.573309412692435,0.44515691853279504,0.5423847096308023,0.5385391038280005,0.5242183327029935,9,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
70,Maine,23,2004,0.4590314194458887,0.5387958282903158,0.4445969273983721,0.43291380141118907,0.4334469852697822,4,0.0,1.0,0.0,0.0,0.0,DEMOCRAT,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT
71,Maryland,24,2004,0.434344157924988,0.42628635944797466,0.505989273750636,0.5047804287707152,0.4695556666208702,10,0.0,0.0,1.0,1.0,0.0,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,DEMOCRAT
72,Massachusetts,25,2004,0.3725714448700811,0.48719161021214585,0.4826259226027716,0.4862345946074669,0.43169089457736476,12,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
73,Michigan,26,2004,0.4827415553203479,0.5230466416020914,0.5308344906626914,0.530161786326488,0.5686725636840606,17,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
74,Minnesota,27,2004,0.4823910988885792,0.5816353808150061,0.5796978517771336,0.5755575803968185,0.5935943819865699,10,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
75,Mississippi,28,2004,0.6022575562965446,0.4337200138253272,0.580928463707707,0.5765853173990791,0.5378248274637514,6,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
76,Missouri,29,2004,0.5361971266543984,0.5131298368640929,0.5019835571325117,0.5033440099735742,0.5183117685405918,11,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
77,Montana,30,2004,0.6050007617566335,0.5859949669936193,0.5729857831389111,0.579298754024336,0.5830673330761584,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
78,Nebraska,31,2004,0.6684733725959471,0.562540588897245,0.5590995330891744,0.5577135605563512,0.5436921426249484,5,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
79,Nevada,32,2004,0.513175957248615,0.5734733669267182,0.5727689750606473,0.5731376941913737,0.5514133078292147,5,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
80,New Hampshire,33,2004,0.4930971137986268,0.5679753797464273,0.5211523016186632,0.5214292096445234,0.5107834761130192,4,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
81,New Jersey,34,2004,0.4659964301608663,0.4527632527828347,0.4447163311382596,0.44376930627227296,0.4171206701931638,15,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
82,New Mexico,35,2004,0.5040033588635489,0.4324934075206768,0.4962303570551043,0.49524506041336736,0.534155685927324,5,1.0,0.0,0.0,0.0,1.0,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT,REPUBLICAN
83,New York,36,2004,0.4017020934355388,0.42472063791930115,0.39100361993600785,0.3897064930904719,0.35558930058193283,31,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
84,North Carolina,37,2004,0.5624197200184111,0.48846586715688023,0.5133205455562475,0.512668916287339,0.537555842185121,15,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
85,North Dakota,38,2004,0.6390935414994329,0.6128711899400114,0.617762933337211,0.6164373702594617,0.614083054785624,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
86,Ohio,39,2004,0.510607412927228,0.507866252892839,0.49552877080684965,0.49635405081390616,0.5105793766541069,20,1.0,1.0,0.0,0.0,1.0,REPUBLICAN,REPUBLICAN,DEMOCRAT,DEMOCRAT,REPUBLICAN
87,Oklahoma,40,2004,0.6557040166475606,0.5165178266663606,0.5279834129970098,0.5263896402326083,0.5621995920833385,7,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
88,Oregon,41,2004,0.4789137422554992,0.5584952595942307,0.5618297443010576,0.5595312633636524,0.5446437320338688,7,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
