year,state,republic_vote_per
2020,HAWAII,0.3496648205448842
2020,IDAHO,0.6587714292507787
2020,ILLINOIS,0.4134095626719308
2020,INDIANA,0.5819504800744296
2020,IOWA,0.5430288910160318
2020,KANSAS,0.5749342825563135
2020,KENTUCKY,0.632017965381476
2020,LOUISIANA,0.5946444045629105
2020,MAINE,0.4553539346029465
2020,MARYLAND,0.3297095295290766
2020,MASSACHUSETTS,0.3288445045985185
2020,MICHIGAN,0.4858644065559054
2020,MINNESOTA,0.46360486351433333
2020,MISSISSIPPI,0.5838498582738886
2020,MISSOURI,0.5783582064440145
2020,MONTANA,0.5839718009204811
2020,NEBRASKA,0.5978405224660173
2020,NEVADA,0.4877247214335556
2020,NEW HAMPSHIRE,0.46251124150483747
2020,NEW JERSEY,0.4192871641320516
2020,NEW MEXICO,0.4448150984828026
2020,NEW YORK,0.38283165106987754
2020,NORTH CAROLINA,0.5068418253318673
2020,NORTH DAKOTA,0.6721740842289663
2020,OHIO,0.5407669764770272
2020,OKLAHOMA,0.6694003949690651
2020,OREGON,0.4169284301455827
2020,PENNSYLVANIA,0.49410794740650943
2020,RHODE ISLAND,0.3940064011604074
2020,SOUTH CAROLINA,0.559266087495821
2020,SOUTH DAKOTA,0.634347798616815
2020,TENNESSEE,0.6182777037206635
2020,TEXAS,0.5283072123677953
2020,UTAH,0.6069357754656344
2020,VERMONT,0.31701046875966854
2020,VIRGINIA,0.4484531300060009
2020,WASHINGTON,0.4007449681520931
2020,WEST VIRGINIA,0.6979853231392202
2020,WISCONSIN,0.49682047731103224
2020,WYOMING,0.724804343755851
